"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-08-05 15:05:21","B","Elevação lateral com halteres","1","6","12","","","kg",
"2025-08-05 15:05:21","B","Elevação lateral com halteres","2","6","12","","","kg",
"2025-08-05 15:05:21","B","Elevação lateral com halteres","3","6","11","","","kg",
"2025-08-05 15:05:21","B","Elevação lateral com halteres","4","6","10","","","kg",
"2025-08-05 15:05:21","B","Rosca direta com barra reta","1","15","12","","","kg",
"2025-08-05 15:05:21","B","Rosca direta com barra reta","2","15","11","","","kg",
"2025-08-05 15:05:21","B","Rosca direta com barra reta","3","15","9","","","kg",
"2025-08-05 15:05:21","B","Rosca direta com barra reta","4","15","9","","","kg",
"2025-08-05 15:05:21","B","Rosca alternada com halter","1","6","9","","","kg",
"2025-08-05 15:05:21","B","Rosca alternada com halter","2","6","9","","","kg",
"2025-08-05 15:05:21","B","Rosca alternada com halter","3","6","8","","","kg",
"2025-08-05 15:05:21","B","Rosca alternada com halter","4","6","8","","","kg",
"2025-08-07 16:10:07","C","Agachamento com barra","1","50","10","","","kg",
"2025-08-07 16:10:07","C","Agachamento com barra","2","50","10","","","kg",
"2025-08-07 16:10:07","C","Agachamento com barra","3","50","10","","","kg",
"2025-08-07 16:10:07","C","Agachamento com barra","4","50","10","","","kg",
"2025-08-07 16:10:07","C","Leg press","1","200","10","","","kg",
"2025-08-07 16:10:07","C","Leg press","2","200","10","","","kg",
"2025-08-07 16:10:07","C","Leg press","3","200","9","","","kg",
"2025-08-07 16:10:07","C","Leg press","4","200","9","","","kg",
"2025-08-07 16:10:07","C","Extensão de pernas","1","55","11","","","kg",
"2025-08-07 16:10:07","C","Extensão de pernas","2","55","11","","","kg",
"2025-08-07 16:10:07","C","Extensão de pernas","3","55","10","","","kg",
"2025-08-07 16:10:07","C","Extensão de pernas","4","55","9","","","kg",
"2025-08-07 16:10:07","C","Flexão de pernas deitado","1","45","11","","","kg",
"2025-08-07 16:10:07","C","Flexão de pernas deitado","2","45","11","","","kg",
"2025-08-07 16:10:07","C","Flexão de pernas deitado","3","45","9","","","kg",
"2025-08-07 16:10:07","C","Flexão de pernas deitado","4","45","9","","","kg",
"2025-08-07 16:10:07","C","Panturrilha no leg press","1","6","16","","","kg",
"2025-08-07 16:10:07","C","Panturrilha no leg press","2","6","15","","","kg",
"2025-08-07 16:10:07","C","Panturrilha no leg press","3","6","14","","","kg",
"2025-08-07 16:10:07","C","Panturrilha no leg press","4","6","14","","","kg",
"2025-08-11 16:18:51","A","Supino reto com halteres","1","16.5","14","","","kg",
"2025-08-11 16:18:51","A","Supino reto com halteres","2","16.5","15","","","kg",
"2025-08-11 16:18:51","A","Supino reto com halteres","3","16.5","12","","","kg",
"2025-08-11 16:18:51","A","Supino reto com halteres","4","16.5","11","","","kg",
"2025-08-11 16:18:51","A","Supino inclinado com halteres","1","12.5","11","","","kg",
"2025-08-11 16:18:51","A","Supino inclinado com halteres","2","12.5","10","","","kg",
"2025-08-11 16:18:51","A","Supino inclinado com halteres","3","12.5","9","","","kg",
"2025-08-11 16:18:51","A","Supino inclinado com halteres","4","12.5","8","","","kg",
"2025-08-11 16:18:51","A","Crucifixo na máquina","1","7","11","","","kg",
"2025-08-11 16:18:51","A","Crucifixo na máquina","2","7","10","","","kg",
"2025-08-11 16:18:51","A","Crucifixo na máquina","3","7","10","","","kg",
"2025-08-11 16:18:51","A","Crucifixo na máquina","4","7","9","","","kg",
"2025-08-11 16:18:51","A","Elevação frontal com halteres","1","6","11","","","kg",
"2025-08-11 16:18:51","A","Elevação frontal com halteres","2","6","10","","","kg",
"2025-08-11 16:18:51","A","Elevação frontal com halteres","3","6","10","","","kg",
"2025-08-11 16:18:51","A","Elevação frontal com halteres","4","6","9","","","kg",
"2025-08-11 16:18:51","A","Mergulho de tríceps assistido","1","35","6","","","kg",
"2025-08-11 16:18:51","A","Mergulho de tríceps assistido","2","0","4","","","kg",
"2025-08-11 16:18:51","A","Mergulho de tríceps assistido","3","0","3","","","kg",
"2025-08-11 16:18:51","A","Mergulho de tríceps assistido","4","0","3","","","kg",
"2025-08-11 16:18:51","A","Tríceps pulley na polia alta","1","5","12","","","kg",
"2025-08-11 16:18:51","A","Tríceps pulley na polia alta","2","5","12","","","kg",
"2025-08-11 16:18:51","A","Tríceps pulley na polia alta","3","5","10","","","kg",
"2025-08-11 16:18:51","A","Tríceps pulley na polia alta","4","5","9","","","kg",
"2025-08-12 15:21:08","B","Puxada aberta frontal","1","42","14","","","kg",
"2025-08-12 15:21:08","B","Puxada aberta frontal","2","42","13","","","kg",
"2025-08-12 15:21:08","B","Puxada aberta frontal","3","42","12","","","kg",
"2025-08-12 15:21:08","B","Puxada aberta frontal","4","42","11","","","kg",
"2025-08-12 15:21:08","B","Remada na polia sentado","1","37","12","","","kg",
"2025-08-12 15:21:08","B","Remada na polia sentado","2","37","11","","","kg",
"2025-08-12 15:21:08","B","Remada na polia sentado","3","37","11","","","kg",
"2025-08-12 15:21:08","B","Remada na polia sentado","4","37","10","","","kg",
"2025-08-12 15:21:08","B","Puxada pela frente neutra","1","42","11","","","kg",
"2025-08-12 15:21:08","B","Puxada pela frente neutra","2","42","10","","","kg",
"2025-08-12 15:21:08","B","Puxada pela frente neutra","3","42","10","","","kg",
"2025-08-12 15:21:08","B","Puxada pela frente neutra","4","42","9","","","kg",
"2025-08-12 15:21:08","B","Elevação lateral com halteres","1","6","13","","","kg",
"2025-08-12 15:21:08","B","Elevação lateral com halteres","2","6","12","","","kg",
"2025-08-12 15:21:08","B","Elevação lateral com halteres","3","6","11","","","kg",
